run,temp,vin,vdd,corner,tsettle
run_000,-40,0.7,1.45,ss,1.378e-08
run_001,27,0.7,1.45,ss,1.455e-08
run_002,130,0.7,1.45,ss,1.549e-08
run_003,-40,0.8,1.45,ss,1.712e-08
run_004,27,0.8,1.45,ss,1.894e-08
run_005,130,0.8,1.45,ss,2.078e-08
run_006,-40,0.9,1.45,ss,2.461e-08
run_007,27,0.9,1.45,ss,2.882e-08
run_008,130,0.9,1.45,ss,3.080e-08
run_009,-40,0.7,1.5,ss,1.265e-08
run_010,27,0.7,1.5,ss,1.320e-08
run_011,130,0.7,1.5,ss,1.388e-08
run_012,-40,0.8,1.5,ss,1.498e-08
run_013,27,0.8,1.5,ss,1.659e-08
run_014,130,0.8,1.5,ss,1.807e-08
run_015,-40,0.9,1.5,ss,1.984e-08
run_016,27,0.9,1.5,ss,2.249e-08
run_017,130,0.9,1.5,ss,2.495e-08
run_018,-40,0.7,1.55,ss,1.157e-08
run_019,27,0.7,1.55,ss,1.198e-08
run_020,130,0.7,1.55,ss,1.262e-08
run_021,-40,0.8,1.55,ss,1.366e-08
run_022,27,0.8,1.55,ss,1.459e-08
run_023,130,0.8,1.55,ss,1.589e-08
run_024,-40,0.9,1.55,ss,1.685e-08
run_025,27,0.9,1.55,ss,1.872e-08
run_026,130,0.9,1.55,ss,2.105e-08
run_027,-40,0.7,1.45,sf,1.220e-08
run_028,27,0.7,1.45,sf,1.266e-08
run_029,130,0.7,1.45,sf,1.303e-08
run_030,-40,0.8,1.45,sf,1.458e-08
run_031,27,0.8,1.45,sf,1.555e-08
run_032,130,0.8,1.45,sf,1.661e-08
run_033,-40,0.9,1.45,sf,1.855e-08
run_034,27,0.9,1.45,sf,2.035e-08
run_035,130,0.9,1.45,sf,2.199e-08
run_036,-40,0.7,1.5,sf,1.142e-08
run_037,27,0.7,1.5,sf,1.160e-08
run_038,130,0.7,1.5,sf,1.195e-08
run_039,-40,0.8,1.5,sf,1.332e-08
run_040,27,0.8,1.5,sf,1.403e-08
run_041,130,0.8,1.5,sf,1.472e-08
run_042,-40,0.9,1.5,sf,1.621e-08
run_043,27,0.9,1.5,sf,1.762e-08
run_044,130,0.9,1.5,sf,1.897e-08
run_045,-40,0.7,1.55,sf,1.073e-08
run_046,27,0.7,1.55,sf,1.088e-08
run_047,130,0.7,1.55,sf,1.094e-08
run_048,-40,0.8,1.55,sf,1.220e-08
run_049,27,0.8,1.55,sf,1.272e-08
run_050,130,0.8,1.55,sf,1.346e-08
run_051,-40,0.9,1.55,sf,1.442e-08
run_052,27,0.9,1.55,sf,1.559e-08
run_053,130,0.9,1.55,sf,1.681e-08
run_054,-40,0.7,1.45,tt,1.278e-08
run_055,27,0.7,1.45,tt,1.326e-08
run_056,130,0.7,1.45,tt,1.386e-08
run_057,-40,0.8,1.45,tt,1.524e-08
run_058,27,0.8,1.45,tt,1.679e-08
run_059,130,0.8,1.45,tt,1.774e-08
run_060,-40,0.9,1.45,tt,2.015e-08
run_061,27,0.9,1.45,tt,2.262e-08
run_062,130,0.9,1.45,tt,2.448e-08
run_063,-40,0.7,1.5,tt,1.170e-08
run_064,27,0.7,1.5,tt,1.211e-08
run_065,130,0.7,1.5,tt,1.260e-08
run_066,-40,0.8,1.5,tt,1.389e-08
run_067,27,0.8,1.5,tt,1.480e-08
run_068,130,0.8,1.5,tt,1.585e-08
run_069,-40,0.9,1.5,tt,1.720e-08
run_070,27,0.9,1.5,tt,1.907e-08
run_071,130,0.9,1.5,tt,2.083e-08
run_072,-40,0.7,1.55,tt,1.100e-08
run_073,27,0.7,1.55,tt,1.127e-08
run_074,130,0.7,1.55,tt,1.149e-08
run_075,-40,0.8,1.55,tt,1.275e-08
run_076,27,0.8,1.55,tt,1.346e-08
run_077,130,0.8,1.55,tt,1.414e-08
run_078,-40,0.9,1.55,tt,1.536e-08
run_079,27,0.9,1.55,tt,1.668e-08
run_080,130,0.9,1.55,tt,1.812e-08
run_081,-40,0.7,1.45,fs,1.320e-08
run_082,27,0.7,1.45,fs,1.398e-08
run_083,130,0.7,1.45,fs,1.459e-08
run_084,-40,0.8,1.45,fs,1.641e-08
run_085,27,0.8,1.45,fs,1.791e-08
run_086,130,0.8,1.45,fs,1.932e-08
run_087,-40,0.9,1.45,fs,2.191e-08
run_088,27,0.9,1.45,fs,2.485e-08
run_089,130,0.9,1.45,fs,2.736e-08
run_090,-40,0.7,1.5,fs,1.213e-08
run_091,27,0.7,1.5,fs,1.255e-08
run_092,130,0.7,1.5,fs,1.327e-08
run_093,-40,0.8,1.5,fs,1.443e-08
run_094,27,0.8,1.5,fs,1.572e-08
run_095,130,0.8,1.5,fs,1.692e-08
run_096,-40,0.9,1.5,fs,1.850e-08
run_097,27,0.9,1.5,fs,2.044e-08
run_098,130,0.9,1.5,fs,2.254e-08
run_099,-40,0.7,1.55,fs,1.118e-08
run_100,27,0.7,1.55,fs,1.164e-08
run_101,130,0.7,1.55,fs,1.207e-08
run_102,-40,0.8,1.55,fs,1.318e-08
run_103,27,0.8,1.55,fs,1.412e-08
run_104,130,0.8,1.55,fs,1.511e-08
run_105,-40,0.9,1.55,fs,1.611e-08
run_106,27,0.9,1.55,fs,1.761e-08
run_107,130,0.9,1.55,fs,1.953e-08
run_108,-40,0.7,1.45,ff,1.173e-08
run_109,27,0.7,1.45,ff,1.211e-08
run_110,130,0.7,1.45,ff,1.248e-08
run_111,-40,0.8,1.45,ff,1.405e-08
run_112,27,0.8,1.45,ff,1.486e-08
run_113,130,0.8,1.45,ff,1.560e-08
run_114,-40,0.9,1.45,ff,1.744e-08
run_115,27,0.9,1.45,ff,1.892e-08
run_116,130,0.9,1.45,ff,2.031e-08
run_117,-40,0.7,1.5,ff,1.104e-08
run_118,27,0.7,1.5,ff,1.117e-08
run_119,130,0.7,1.5,ff,1.143e-08
run_120,-40,0.8,1.5,ff,1.274e-08
run_121,27,0.8,1.5,ff,1.352e-08
run_122,130,0.8,1.5,ff,1.402e-08
run_123,-40,0.9,1.5,ff,1.556e-08
run_124,27,0.9,1.5,ff,1.651e-08
run_125,130,0.9,1.5,ff,1.773e-08
run_126,-40,0.7,1.55,ff,1.038e-08
run_127,27,0.7,1.55,ff,1.049e-08
run_128,130,0.7,1.55,ff,1.053e-08
run_129,-40,0.8,1.55,ff,1.182e-08
run_130,27,0.8,1.55,ff,1.237e-08
run_131,130,0.8,1.55,ff,1.290e-08
run_132,-40,0.9,1.55,ff,1.401e-08
run_133,27,0.9,1.55,ff,1.500e-08
run_134,130,0.9,1.55,ff,1.591e-08
