gain_mc_arr,bw_mc_arr
1.003549999999999942e+00,1.920060000000000000e+07
1.003349999999999964e+00,1.843310000000000000e+07
1.003710000000000102e+00,1.851430000000000000e+07
1.003409999999999913e+00,1.872350000000000000e+07
1.003540000000000099e+00,1.886850000000000000e+07
1.003479999999999928e+00,1.906550000000000000e+07
1.003249999999999975e+00,1.837970000000000000e+07
1.003330000000000055e+00,1.789370000000000000e+07
1.004010000000000069e+00,1.840800000000000000e+07
1.003339999999999899e+00,1.849770000000000000e+07
1.003789999999999960e+00,1.865530000000000000e+07
1.003390000000000004e+00,1.854150000000000000e+07
1.003819999999999935e+00,1.906840000000000000e+07
1.003349999999999964e+00,1.865740000000000000e+07
1.003479999999999928e+00,1.868330000000000000e+07
1.003470000000000084e+00,1.842070000000000000e+07
1.003449999999999953e+00,1.833280000000000000e+07
1.003390000000000004e+00,1.856810000000000000e+07
1.003130000000000077e+00,1.843220000000000000e+07
1.003589999999999982e+00,1.931470000000000000e+07
1.003949999999999898e+00,1.874540000000000000e+07
1.003700000000000037e+00,1.849110000000000000e+07
1.003540000000000099e+00,1.881340000000000000e+07
1.003549999999999942e+00,1.834340000000000000e+07
1.003540000000000099e+00,1.838060000000000000e+07
1.003549999999999942e+00,1.844560000000000000e+07
1.003400000000000070e+00,1.858340000000000000e+07
1.003609999999999891e+00,1.889930000000000000e+07
1.003519999999999968e+00,1.864420000000000000e+07
1.003509999999999902e+00,1.847240000000000000e+07
1.003800000000000026e+00,1.828880000000000000e+07
1.003460000000000019e+00,1.863280000000000000e+07
1.003379999999999939e+00,1.805400000000000000e+07
1.003449999999999953e+00,1.797800000000000000e+07
1.003260000000000041e+00,1.823640000000000000e+07
1.003390000000000004e+00,1.852620000000000000e+07
1.003619999999999957e+00,1.857460000000000000e+07
1.003789999999999960e+00,1.841940000000000000e+07
1.003530000000000033e+00,1.798650000000000000e+07
1.003640000000000088e+00,1.887820000000000000e+07
1.003409999999999913e+00,1.814440000000000000e+07
1.003409999999999913e+00,1.835800000000000000e+07
1.003460000000000019e+00,1.853580000000000000e+07
1.003730000000000011e+00,1.863530000000000000e+07
1.003649999999999931e+00,1.841500000000000000e+07
1.003349999999999964e+00,1.841180000000000000e+07
1.003710000000000102e+00,1.848440000000000000e+07
1.003489999999999993e+00,1.819720000000000000e+07
1.003479999999999928e+00,1.873150000000000000e+07
1.003600000000000048e+00,1.853170000000000000e+07
1.003579999999999917e+00,1.832350000000000000e+07
1.003460000000000019e+00,1.856270000000000000e+07
1.003560000000000008e+00,1.859590000000000000e+07
1.003579999999999917e+00,1.796780000000000000e+07
1.003579999999999917e+00,1.899470000000000000e+07
1.003659999999999997e+00,1.861040000000000000e+07
1.003659999999999997e+00,1.864090000000000000e+07
1.003079999999999972e+00,1.815960000000000000e+07
1.003560000000000008e+00,1.831930000000000000e+07
1.003530000000000033e+00,1.867800000000000000e+07
1.003600000000000048e+00,1.836570000000000000e+07
1.003390000000000004e+00,1.869890000000000000e+07
1.003859999999999975e+00,1.881200000000000000e+07
1.003670000000000062e+00,1.877170000000000000e+07
1.003409999999999913e+00,1.865770000000000000e+07
1.003830000000000000e+00,1.874210000000000000e+07
1.003670000000000062e+00,1.838260000000000000e+07
1.003600000000000048e+00,1.845660000000000000e+07
1.003649999999999931e+00,1.889770000000000000e+07
1.003540000000000099e+00,1.812950000000000000e+07
1.003710000000000102e+00,1.860340000000000000e+07
1.003679999999999906e+00,1.885560000000000000e+07
1.003500000000000059e+00,1.822490000000000000e+07
1.003910000000000080e+00,1.905900000000000000e+07
1.003440000000000110e+00,1.816540000000000000e+07
1.003530000000000033e+00,1.857340000000000000e+07
1.003500000000000059e+00,1.885450000000000000e+07
1.003479999999999928e+00,1.868650000000000000e+07
1.003759999999999986e+00,1.861560000000000000e+07
1.003419999999999979e+00,1.841200000000000000e+07
1.003409999999999913e+00,1.824900000000000000e+07
1.003649999999999931e+00,1.884940000000000000e+07
1.003519999999999968e+00,1.829060000000000000e+07
1.003479999999999928e+00,1.893360000000000000e+07
1.003330000000000055e+00,1.820940000000000000e+07
1.003649999999999931e+00,1.883440000000000000e+07
1.003609999999999891e+00,1.807380000000000000e+07
1.003339999999999899e+00,1.858330000000000000e+07
1.003479999999999928e+00,1.870450000000000000e+07
1.003659999999999997e+00,1.913260000000000000e+07
1.003489999999999993e+00,1.871690000000000000e+07
1.003670000000000062e+00,1.867310000000000000e+07
1.003430000000000044e+00,1.868250000000000000e+07
1.003400000000000070e+00,1.867300000000000000e+07
1.003319999999999990e+00,1.839240000000000000e+07
1.003789999999999960e+00,1.915910000000000000e+07
1.003570000000000073e+00,1.821010000000000000e+07
1.003190000000000026e+00,1.861160000000000000e+07
1.003670000000000062e+00,1.919160000000000000e+07
1.003649999999999931e+00,1.870060000000000000e+07
